con,joint,cont,pow,sub,value
nh,ank,net,neg,1,-0.689065459019997
nh,ank,net,neg,2,-0.663190005894969
nh,ank,net,neg,3,-0.639351970770142
nh,ank,net,neg,4,-0.829013339497826
nh,ank,net,neg,5,-0.592285868876121
nh,ank,net,neg,6,-0.528970652643372
nh,ank,net,neg,7,-0.683656831874567
nh,ank,net,neg,8,-0.741677335956517
nh,ank,net,neg,9,-0.859927253688083
nh,ank,net,neg,10,-0.693673254374196
nh,ank,net,neg,11,-0.592656225404319
nh,ank,net,neg,12,-0.78261443621972
nh,ank,net,neg,13,-0.684402741930064
nh,ank,net,neg,14,-0.671548043980318
nh,ank,net,pos,1,1.00294497609138
nh,ank,net,pos,2,0.944021655356183
nh,ank,net,pos,3,1.02353598674138
nh,ank,net,pos,4,1.14133457071853
nh,ank,net,pos,5,0.977475585306392
nh,ank,net,pos,6,0.850416932474164
nh,ank,net,pos,7,0.919563758899184
nh,ank,net,pos,8,1.20082781157073
nh,ank,net,pos,9,1.27545276634833
nh,ank,net,pos,10,1.0785640408011
nh,ank,net,pos,11,0.897964850068092
nh,ank,net,pos,12,1.13005466408589
nh,ank,net,pos,13,0.96780263588709
nh,ank,net,pos,14,1.07168113834718
nh,kne,net,neg,1,-0.386617907049025
nh,kne,net,neg,2,-0.395490767324672
nh,kne,net,neg,3,-0.328491081116777
nh,kne,net,neg,4,-0.33396617097385
nh,kne,net,neg,5,-0.419641790582853
nh,kne,net,neg,6,-0.50434048890191
nh,kne,net,neg,7,-0.30165287698893
nh,kne,net,neg,8,-0.282548119478366
nh,kne,net,neg,9,-0.216171141111237
nh,kne,net,neg,10,-0.316325942163958
nh,kne,net,neg,11,-0.337153010289459
nh,kne,net,neg,12,-0.238610996152548
nh,kne,net,neg,13,-0.340869602911613
nh,kne,net,neg,14,-0.19616406476673
nh,kne,net,pos,1,0.578695397166645
nh,kne,net,pos,2,0.554687209865626
nh,kne,net,pos,3,0.433387139529893
nh,kne,net,pos,4,0.489876808542194
nh,kne,net,pos,5,0.543462378575521
nh,kne,net,pos,6,0.683637177242952
nh,kne,net,pos,7,0.384087743128047
nh,kne,net,pos,8,0.471902221222134
nh,kne,net,pos,9,0.426881729460814
nh,kne,net,pos,10,0.392037207808565
nh,kne,net,pos,11,0.454351277912364
nh,kne,net,pos,12,0.47516883383779
nh,kne,net,pos,13,0.513961504049161
nh,kne,net,pos,14,0.343960898763993
nh,hip,net,neg,1,-0.0462507186457515
nh,hip,net,neg,2,-0.0481541039257803
nh,hip,net,neg,3,-0.0839050427417864
nh,hip,net,neg,4,-0.0710415973920714
nh,hip,net,neg,5,-0.0600340986514793
nh,hip,net,neg,6,-0.178681492805481
nh,hip,net,neg,7,-0.0631339049090029
nh,hip,net,neg,8,-0.190825219868737
nh,hip,net,neg,9,-0.132285042611115
nh,hip,net,neg,10,-0.109818295137409
nh,hip,net,neg,11,-0.110666796345921
nh,hip,net,neg,12,-0.0944350503713769
nh,hip,net,neg,13,-0.0899578441783567
nh,hip,net,neg,14,-0.114602823632167
nh,hip,net,pos,1,0.0262877303928904
nh,hip,net,pos,2,0.0242932661546066
nh,hip,net,pos,3,0.0689629862141429
nh,hip,net,pos,4,0.0680574537395979
nh,hip,net,pos,5,0.037741695804631
nh,hip,net,pos,6,0.0904192322974696
nh,hip,net,pos,7,0.0409304948715384
nh,hip,net,pos,8,0.0771875097142423
nh,hip,net,pos,9,0.029337794506265
nh,hip,net,pos,10,0.0723247355507577
nh,hip,net,pos,11,0.0384194922140416
nh,hip,net,pos,12,0.0348590898793191
nh,hip,net,pos,13,0.0448196765090175
nh,hip,net,pos,14,0.0294435292290633
nh,ank,exo,neg,1,NaN
nh,ank,exo,neg,2,NaN
nh,ank,exo,neg,3,NaN
nh,ank,exo,neg,4,NaN
nh,ank,exo,neg,5,NaN
nh,ank,exo,neg,6,NaN
nh,ank,exo,neg,7,NaN
nh,ank,exo,neg,8,NaN
nh,ank,exo,neg,9,NaN
nh,ank,exo,neg,10,NaN
nh,ank,exo,neg,11,NaN
nh,ank,exo,neg,12,NaN
nh,ank,exo,neg,13,NaN
nh,ank,exo,neg,14,NaN
nh,ank,exo,pos,1,NaN
nh,ank,exo,pos,2,NaN
nh,ank,exo,pos,3,NaN
nh,ank,exo,pos,4,NaN
nh,ank,exo,pos,5,NaN
nh,ank,exo,pos,6,NaN
nh,ank,exo,pos,7,NaN
nh,ank,exo,pos,8,NaN
nh,ank,exo,pos,9,NaN
nh,ank,exo,pos,10,NaN
nh,ank,exo,pos,11,NaN
nh,ank,exo,pos,12,NaN
nh,ank,exo,pos,13,NaN
nh,ank,exo,pos,14,NaN
nh,kne,exo,neg,1,NaN
nh,kne,exo,neg,2,NaN
nh,kne,exo,neg,3,NaN
nh,kne,exo,neg,4,NaN
nh,kne,exo,neg,5,NaN
nh,kne,exo,neg,6,NaN
nh,kne,exo,neg,7,NaN
nh,kne,exo,neg,8,NaN
nh,kne,exo,neg,9,NaN
nh,kne,exo,neg,10,NaN
nh,kne,exo,neg,11,NaN
nh,kne,exo,neg,12,NaN
nh,kne,exo,neg,13,NaN
nh,kne,exo,neg,14,NaN
nh,kne,exo,pos,1,NaN
nh,kne,exo,pos,2,NaN
nh,kne,exo,pos,3,NaN
nh,kne,exo,pos,4,NaN
nh,kne,exo,pos,5,NaN
nh,kne,exo,pos,6,NaN
nh,kne,exo,pos,7,NaN
nh,kne,exo,pos,8,NaN
nh,kne,exo,pos,9,NaN
nh,kne,exo,pos,10,NaN
nh,kne,exo,pos,11,NaN
nh,kne,exo,pos,12,NaN
nh,kne,exo,pos,13,NaN
nh,kne,exo,pos,14,NaN
nh,hip,exo,neg,1,NaN
nh,hip,exo,neg,2,NaN
nh,hip,exo,neg,3,NaN
nh,hip,exo,neg,4,NaN
nh,hip,exo,neg,5,NaN
nh,hip,exo,neg,6,NaN
nh,hip,exo,neg,7,NaN
nh,hip,exo,neg,8,NaN
nh,hip,exo,neg,9,NaN
nh,hip,exo,neg,10,NaN
nh,hip,exo,neg,11,NaN
nh,hip,exo,neg,12,NaN
nh,hip,exo,neg,13,NaN
nh,hip,exo,neg,14,NaN
nh,hip,exo,pos,1,NaN
nh,hip,exo,pos,2,NaN
nh,hip,exo,pos,3,NaN
nh,hip,exo,pos,4,NaN
nh,hip,exo,pos,5,NaN
nh,hip,exo,pos,6,NaN
nh,hip,exo,pos,7,NaN
nh,hip,exo,pos,8,NaN
nh,hip,exo,pos,9,NaN
nh,hip,exo,pos,10,NaN
nh,hip,exo,pos,11,NaN
nh,hip,exo,pos,12,NaN
nh,hip,exo,pos,13,NaN
nh,hip,exo,pos,14,NaN
nh,ank,bio,neg,1,-0.689065459019997
nh,ank,bio,neg,2,-0.663190005894969
nh,ank,bio,neg,3,-0.639351970770142
nh,ank,bio,neg,4,-0.829013339497826
nh,ank,bio,neg,5,-0.592285868876121
nh,ank,bio,neg,6,-0.528970652643372
nh,ank,bio,neg,7,-0.683656831874567
nh,ank,bio,neg,8,-0.741677335956517
nh,ank,bio,neg,9,-0.859927253688083
nh,ank,bio,neg,10,-0.693673254374196
nh,ank,bio,neg,11,-0.592656225404319
nh,ank,bio,neg,12,-0.78261443621972
nh,ank,bio,neg,13,-0.684402741930064
nh,ank,bio,neg,14,-0.671548043980318
nh,ank,bio,pos,1,1.00294497609138
nh,ank,bio,pos,2,0.944021655356183
nh,ank,bio,pos,3,1.02353598674138
nh,ank,bio,pos,4,1.14133457071853
nh,ank,bio,pos,5,0.977475585306392
nh,ank,bio,pos,6,0.850416932474164
nh,ank,bio,pos,7,0.919563758899184
nh,ank,bio,pos,8,1.20082781157073
nh,ank,bio,pos,9,1.27545276634833
nh,ank,bio,pos,10,1.0785640408011
nh,ank,bio,pos,11,0.897964850068092
nh,ank,bio,pos,12,1.13005466408589
nh,ank,bio,pos,13,0.96780263588709
nh,ank,bio,pos,14,1.07168113834718
nh,kne,bio,neg,1,-0.386617907049025
nh,kne,bio,neg,2,-0.395490767324672
nh,kne,bio,neg,3,-0.328491081116777
nh,kne,bio,neg,4,-0.33396617097385
nh,kne,bio,neg,5,-0.419641790582853
nh,kne,bio,neg,6,-0.50434048890191
nh,kne,bio,neg,7,-0.30165287698893
nh,kne,bio,neg,8,-0.282548119478366
nh,kne,bio,neg,9,-0.216171141111237
nh,kne,bio,neg,10,-0.316325942163958
nh,kne,bio,neg,11,-0.337153010289459
nh,kne,bio,neg,12,-0.238610996152548
nh,kne,bio,neg,13,-0.340869602911613
nh,kne,bio,neg,14,-0.19616406476673
nh,kne,bio,pos,1,0.578695397166645
nh,kne,bio,pos,2,0.554687209865626
nh,kne,bio,pos,3,0.433387139529893
nh,kne,bio,pos,4,0.489876808542194
nh,kne,bio,pos,5,0.543462378575521
nh,kne,bio,pos,6,0.683637177242952
nh,kne,bio,pos,7,0.384087743128047
nh,kne,bio,pos,8,0.471902221222134
nh,kne,bio,pos,9,0.426881729460814
nh,kne,bio,pos,10,0.392037207808565
nh,kne,bio,pos,11,0.454351277912364
nh,kne,bio,pos,12,0.47516883383779
nh,kne,bio,pos,13,0.513961504049161
nh,kne,bio,pos,14,0.343960898763993
nh,hip,bio,neg,1,-0.0462507186457515
nh,hip,bio,neg,2,-0.0481541039257803
nh,hip,bio,neg,3,-0.0839050427417864
nh,hip,bio,neg,4,-0.0710415973920714
nh,hip,bio,neg,5,-0.0600340986514793
nh,hip,bio,neg,6,-0.178681492805481
nh,hip,bio,neg,7,-0.0631339049090029
nh,hip,bio,neg,8,-0.190825219868737
nh,hip,bio,neg,9,-0.132285042611115
nh,hip,bio,neg,10,-0.109818295137409
nh,hip,bio,neg,11,-0.110666796345921
nh,hip,bio,neg,12,-0.0944350503713769
nh,hip,bio,neg,13,-0.0899578441783567
nh,hip,bio,neg,14,-0.114602823632167
nh,hip,bio,pos,1,0.0262877303928904
nh,hip,bio,pos,2,0.0242932661546066
nh,hip,bio,pos,3,0.0689629862141429
nh,hip,bio,pos,4,0.0680574537395979
nh,hip,bio,pos,5,0.037741695804631
nh,hip,bio,pos,6,0.0904192322974696
nh,hip,bio,pos,7,0.0409304948715384
nh,hip,bio,pos,8,0.0771875097142423
nh,hip,bio,pos,9,0.029337794506265
nh,hip,bio,pos,10,0.0723247355507577
nh,hip,bio,pos,11,0.0384194922140416
nh,hip,bio,pos,12,0.0348590898793191
nh,hip,bio,pos,13,0.0448196765090175
nh,hip,bio,pos,14,0.0294435292290633
nh,ank,net,net,1,0.313879517071387
nh,ank,net,net,2,0.280831649461213
nh,ank,net,net,3,0.384184015971242
nh,ank,net,net,4,0.312321231220708
nh,ank,net,net,5,0.385189716430271
nh,ank,net,net,6,0.321446279830792
nh,ank,net,net,7,0.235906927024617
nh,ank,net,net,8,0.459150475614211
nh,ank,net,net,9,0.415525512660251
nh,ank,net,net,10,0.384890786426909
nh,ank,net,net,11,0.305308624663774
nh,ank,net,net,12,0.347440227866173
nh,ank,net,net,13,0.283399893957026
nh,ank,net,net,14,0.400133094366859
nh,kne,net,net,1,0.19207749011762
nh,kne,net,net,2,0.159196442540954
nh,kne,net,net,3,0.104896058413115
nh,kne,net,net,4,0.155910637568344
nh,kne,net,net,5,0.123820587992668
nh,kne,net,net,6,0.179296688341043
nh,kne,net,net,7,0.0824348661391174
nh,kne,net,net,8,0.189354101743768
nh,kne,net,net,9,0.210710588349577
nh,kne,net,net,10,0.0757112656446065
nh,kne,net,net,11,0.117198267622906
nh,kne,net,net,12,0.236557837685241
nh,kne,net,net,13,0.173091901137548
nh,kne,net,net,14,0.147796833997264
nh,hip,net,net,1,-0.0199629882528611
nh,hip,net,net,2,-0.0238608377711738
nh,hip,net,net,3,-0.0149420565276435
nh,hip,net,net,4,-0.00298414365247343
nh,hip,net,net,5,-0.0222924028468483
nh,hip,net,net,6,-0.0882622605080114
nh,hip,net,net,7,-0.0222034100374645
nh,hip,net,net,8,-0.113637710154495
nh,hip,net,net,9,-0.10294724810485
nh,hip,net,net,10,-0.0374935595866512
nh,hip,net,net,11,-0.0722473041318795
nh,hip,net,net,12,-0.0595759604920578
nh,hip,net,net,13,-0.0451381676693392
nh,hip,net,net,14,-0.0851592944031034
nh,ank,exo,net,1,NaN
nh,ank,exo,net,2,NaN
nh,ank,exo,net,3,NaN
nh,ank,exo,net,4,NaN
nh,ank,exo,net,5,NaN
nh,ank,exo,net,6,NaN
nh,ank,exo,net,7,NaN
nh,ank,exo,net,8,NaN
nh,ank,exo,net,9,NaN
nh,ank,exo,net,10,NaN
nh,ank,exo,net,11,NaN
nh,ank,exo,net,12,NaN
nh,ank,exo,net,13,NaN
nh,ank,exo,net,14,NaN
nh,kne,exo,net,1,NaN
nh,kne,exo,net,2,NaN
nh,kne,exo,net,3,NaN
nh,kne,exo,net,4,NaN
nh,kne,exo,net,5,NaN
nh,kne,exo,net,6,NaN
nh,kne,exo,net,7,NaN
nh,kne,exo,net,8,NaN
nh,kne,exo,net,9,NaN
nh,kne,exo,net,10,NaN
nh,kne,exo,net,11,NaN
nh,kne,exo,net,12,NaN
nh,kne,exo,net,13,NaN
nh,kne,exo,net,14,NaN
nh,hip,exo,net,1,NaN
nh,hip,exo,net,2,NaN
nh,hip,exo,net,3,NaN
nh,hip,exo,net,4,NaN
nh,hip,exo,net,5,NaN
nh,hip,exo,net,6,NaN
nh,hip,exo,net,7,NaN
nh,hip,exo,net,8,NaN
nh,hip,exo,net,9,NaN
nh,hip,exo,net,10,NaN
nh,hip,exo,net,11,NaN
nh,hip,exo,net,12,NaN
nh,hip,exo,net,13,NaN
nh,hip,exo,net,14,NaN
nh,ank,bio,net,1,0.313879517071387
nh,ank,bio,net,2,0.280831649461213
nh,ank,bio,net,3,0.384184015971242
nh,ank,bio,net,4,0.312321231220708
nh,ank,bio,net,5,0.385189716430271
nh,ank,bio,net,6,0.321446279830792
nh,ank,bio,net,7,0.235906927024617
nh,ank,bio,net,8,0.459150475614211
nh,ank,bio,net,9,0.415525512660251
nh,ank,bio,net,10,0.384890786426909
nh,ank,bio,net,11,0.305308624663774
nh,ank,bio,net,12,0.347440227866173
nh,ank,bio,net,13,0.283399893957026
nh,ank,bio,net,14,0.400133094366859
nh,kne,bio,net,1,0.19207749011762
nh,kne,bio,net,2,0.159196442540954
nh,kne,bio,net,3,0.104896058413115
nh,kne,bio,net,4,0.155910637568344
nh,kne,bio,net,5,0.123820587992668
nh,kne,bio,net,6,0.179296688341043
nh,kne,bio,net,7,0.0824348661391174
nh,kne,bio,net,8,0.189354101743768
nh,kne,bio,net,9,0.210710588349577
nh,kne,bio,net,10,0.0757112656446065
nh,kne,bio,net,11,0.117198267622906
nh,kne,bio,net,12,0.236557837685241
nh,kne,bio,net,13,0.173091901137548
nh,kne,bio,net,14,0.147796833997264
nh,hip,bio,net,1,-0.0199629882528611
nh,hip,bio,net,2,-0.0238608377711738
nh,hip,bio,net,3,-0.0149420565276435
nh,hip,bio,net,4,-0.00298414365247343
nh,hip,bio,net,5,-0.0222924028468483
nh,hip,bio,net,6,-0.0882622605080114
nh,hip,bio,net,7,-0.0222034100374645
nh,hip,bio,net,8,-0.113637710154495
nh,hip,bio,net,9,-0.10294724810485
nh,hip,bio,net,10,-0.0374935595866512
nh,hip,bio,net,11,-0.0722473041318795
nh,hip,bio,net,12,-0.0595759604920578
nh,hip,bio,net,13,-0.0451381676693392
nh,hip,bio,net,14,-0.0851592944031034
dg,ank,net,neg,1,-0.808616331129363
dg,ank,net,neg,2,-0.879965224686791
dg,ank,net,neg,3,-0.832081381118659
dg,ank,net,neg,4,-0.797257929163821
dg,ank,net,neg,5,-0.593284996993401
dg,ank,net,neg,6,-0.521738547612639
dg,ank,net,neg,7,-0.729243671192842
dg,ank,net,neg,8,-0.76888353859677
dg,ank,net,neg,9,-0.915883588440278
dg,ank,net,neg,10,-0.720998495817184
dg,ank,net,neg,11,-0.718706232659957
dg,ank,net,neg,12,-0.733866924748701
dg,ank,net,neg,13,-0.594521359485738
dg,ank,net,neg,14,-0.736760824042208
dg,ank,net,pos,1,1.11354852354888
dg,ank,net,pos,2,1.1476335104774
dg,ank,net,pos,3,1.26710832480228
dg,ank,net,pos,4,1.11768360348309
dg,ank,net,pos,5,0.827936285558869
dg,ank,net,pos,6,0.90459227298989
dg,ank,net,pos,7,1.01923825547976
dg,ank,net,pos,8,1.15774639213786
dg,ank,net,pos,9,1.32926664545256
dg,ank,net,pos,10,0.998562805792865
dg,ank,net,pos,11,0.947267048499163
dg,ank,net,pos,12,0.986001240856507
dg,ank,net,pos,13,0.786086970392396
dg,ank,net,pos,14,1.09973432211315
dg,kne,net,neg,1,-0.365040006736914
dg,kne,net,neg,2,-0.170779971515431
dg,kne,net,neg,3,-0.278627862420046
dg,kne,net,neg,4,-0.22793000651633
dg,kne,net,neg,5,-0.24501970782876
dg,kne,net,neg,6,-0.555147243334967
dg,kne,net,neg,7,-0.343700668391059
dg,kne,net,neg,8,-0.214442202821374
dg,kne,net,neg,9,-0.224858772338313
dg,kne,net,neg,10,-0.30054010867196
dg,kne,net,neg,11,-0.219539468450581
dg,kne,net,neg,12,-0.288094154832994
dg,kne,net,neg,13,-0.255854991428992
dg,kne,net,neg,14,-0.192949843538158
dg,kne,net,pos,1,0.594042833555828
dg,kne,net,pos,2,0.259112283149186
dg,kne,net,pos,3,0.39861060159676
dg,kne,net,pos,4,0.392661145504783
dg,kne,net,pos,5,0.295112121850252
dg,kne,net,pos,6,0.66750924727496
dg,kne,net,pos,7,0.407238778822562
dg,kne,net,pos,8,0.287052586126853
dg,kne,net,pos,9,0.407778558704783
dg,kne,net,pos,10,0.410715052529293
dg,kne,net,pos,11,0.372683884028126
dg,kne,net,pos,12,0.602349080145359
dg,kne,net,pos,13,0.359862826545449
dg,kne,net,pos,14,0.32266613709576
dg,hip,net,neg,1,-0.089266373070352
dg,hip,net,neg,2,-0.092809129780268
dg,hip,net,neg,3,-0.173086292815931
dg,hip,net,neg,4,-0.118454233003671
dg,hip,net,neg,5,-0.0379748671000604
dg,hip,net,neg,6,-0.0745927542448044
dg,hip,net,neg,7,-0.110242139958941
dg,hip,net,neg,8,-0.192384869408082
dg,hip,net,neg,9,-0.142667580943774
dg,hip,net,neg,10,-0.0772774905267665
dg,hip,net,neg,11,-0.136602573918507
dg,hip,net,neg,12,-0.220483181669432
dg,hip,net,neg,13,-0.128239033962874
dg,hip,net,neg,14,-0.137072544216233
dg,hip,net,pos,1,0.062667702719795
dg,hip,net,pos,2,0.059047703850357
dg,hip,net,pos,3,0.12205023956344
dg,hip,net,pos,4,0.103479778174968
dg,hip,net,pos,5,0.0414078475167865
dg,hip,net,pos,6,0.102156105670421
dg,hip,net,pos,7,0.170593570041306
dg,hip,net,pos,8,0.117926852448898
dg,hip,net,pos,9,0.0844029124059221
dg,hip,net,pos,10,0.0765751302242279
dg,hip,net,pos,11,0.0931608905906186
dg,hip,net,pos,12,0.0595538624261013
dg,hip,net,pos,13,0.0568964801838293
dg,hip,net,pos,14,0.106343126472305
dg,ank,exo,neg,1,-0.312397283135038
dg,ank,exo,neg,2,-0.578122625456137
dg,ank,exo,neg,3,-0.276775518150041
dg,ank,exo,neg,4,-0.392630343489787
dg,ank,exo,neg,5,-0.321376852033769
dg,ank,exo,neg,6,-0.328403113519444
dg,ank,exo,neg,7,-0.14585610665381
dg,ank,exo,neg,8,-0.452205824063105
dg,ank,exo,neg,9,-0.343716200221987
dg,ank,exo,neg,10,-0.373750254950103
dg,ank,exo,neg,11,-0.349300739958006
dg,ank,exo,neg,12,-0.263813019017963
dg,ank,exo,neg,13,-0.351152018808267
dg,ank,exo,neg,14,-0.346091000911068
dg,ank,exo,pos,1,0.279649480274229
dg,ank,exo,pos,2,0.530581176280975
dg,ank,exo,pos,3,0.250357281755317
dg,ank,exo,pos,4,0.344565309584141
dg,ank,exo,pos,5,0.277982255553498
dg,ank,exo,pos,6,0.275602376855472
dg,ank,exo,pos,7,0.112738617969786
dg,ank,exo,pos,8,0.418050151537446
dg,ank,exo,pos,9,0.312275057329851
dg,ank,exo,pos,10,0.336982514270965
dg,ank,exo,pos,11,0.307972622049205
dg,ank,exo,pos,12,0.190170746296644
dg,ank,exo,pos,13,0.285580073647639
dg,ank,exo,pos,14,0.260561693240615
dg,kne,exo,neg,1,-0.0776193377872308
dg,kne,exo,neg,2,-0.0251000294263256
dg,kne,exo,neg,3,-0.0429977740330452
dg,kne,exo,neg,4,-0.0441054950249107
dg,kne,exo,neg,5,-0.0680323778377736
dg,kne,exo,neg,6,-0.218827302293742
dg,kne,exo,neg,7,-0.0350001634591643
dg,kne,exo,neg,8,-0.0673242637148017
dg,kne,exo,neg,9,-0.0359109448926414
dg,kne,exo,neg,10,-0.0743809915900997
dg,kne,exo,neg,11,-0.0490769555326551
dg,kne,exo,neg,12,-0.0391069487120737
dg,kne,exo,neg,13,-0.0360714512164978
dg,kne,exo,neg,14,-0.0367423292687711
dg,kne,exo,pos,1,0.0757564692899133
dg,kne,exo,pos,2,0.0229879383353845
dg,kne,exo,pos,3,0.0460823312627547
dg,kne,exo,pos,4,0.0335134263561272
dg,kne,exo,pos,5,0.0637295838609776
dg,kne,exo,pos,6,0.177406875635771
dg,kne,exo,pos,7,0.0335727030794848
dg,kne,exo,pos,8,0.0399889469639782
dg,kne,exo,pos,9,0.0407173153944314
dg,kne,exo,pos,10,0.084827075671295
dg,kne,exo,pos,11,0.054124551030862
dg,kne,exo,pos,12,0.041467315681717
dg,kne,exo,pos,13,0.0326687403927174
dg,kne,exo,pos,14,0.0326556833187009
dg,hip,exo,neg,1,-0.0135440088034198
dg,hip,exo,neg,2,-0.0487947648884181
dg,hip,exo,neg,3,-0.0463996466785444
dg,hip,exo,neg,4,-0.0529148503590156
dg,hip,exo,neg,5,-0.0289933478103622
dg,hip,exo,neg,6,-0.0336429873645744
dg,hip,exo,neg,7,-0.0554825245019268
dg,hip,exo,neg,8,-0.0820389407522538
dg,hip,exo,neg,9,-0.0368493155795423
dg,hip,exo,neg,10,-0.0248261462924454
dg,hip,exo,neg,11,-0.0620660979629439
dg,hip,exo,neg,12,-0.0591259295778239
dg,hip,exo,neg,13,-0.064314359360758
dg,hip,exo,neg,14,-0.0531109204132329
dg,hip,exo,pos,1,0.00614959088323468
dg,hip,exo,pos,2,0.0360501880538376
dg,hip,exo,pos,3,0.0354256818360282
dg,hip,exo,pos,4,0.0192700741839979
dg,hip,exo,pos,5,0.0292007323655793
dg,hip,exo,pos,6,0.0359442466322114
dg,hip,exo,pos,7,0.059425620636081
